config,map,responder,road_damage,location_damage,rescue_duration,run,people_saved,total_people,rescue_rate,vehicles_remaining,vehicle_survival_rate
3a,5,solution.algorithms.Dijkstra,0.3,0,500,3,,,,,
3a,5,solution.algorithms.BidirectionalDijkstra,0.3,0,500,1,0,1000,0.0,20,100.0
3a,5,solution.algorithms.BidirectionalDijkstra,0.3,0,500,2,0,1000,0.0,20,100.0
3a,5,solution.algorithms.BidirectionalDijkstra,0.3,0,500,3,0,1000,0.0,20,100.0
3a,5,solution.algorithms.Hybrid,0.3,0,500,1,0,1000,0.0,20,100.0
3a,5,solution.algorithms.Hybrid,0.3,0,500,2,0,1000,0.0,20,100.0
3a,5,solution.algorithms.Hybrid,0.3,0,500,3,0,950,0.0,20,100.0
3b,0,solution.algorithms.BFS,0.3,0,1500,1,500,950,52.6,20,100.0
3b,0,solution.algorithms.BFS,0.3,0,1500,2,350,850,41.2,20,100.0
3b,0,solution.algorithms.BFS,0.3,0,1500,3,600,1000,60.0,20,100.0
3b,0,solution.algorithms.Dijkstra,0.3,0,1500,1,,,,,
3b,0,solution.algorithms.Dijkstra,0.3,0,1500,2,,,,,
3b,0,solution.algorithms.Dijkstra,0.3,0,1500,3,,,,,
3b,0,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,1,400,900,44.4,20,100.0
3b,0,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,2,400,1000,40.0,20,100.0
3b,0,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,3,500,900,55.6,20,100.0
3b,0,solution.algorithms.Hybrid,0.3,0,1500,1,550,950,57.9,20,100.0
3b,0,solution.algorithms.Hybrid,0.3,0,1500,2,600,950,63.2,20,100.0
3b,0,solution.algorithms.Hybrid,0.3,0,1500,3,450,950,47.4,20,100.0
3b,2,solution.algorithms.BFS,0.3,0,1500,1,200,1000,20.0,20,100.0
3b,2,solution.algorithms.BFS,0.3,0,1500,2,250,1000,25.0,20,100.0
3b,2,solution.algorithms.BFS,0.3,0,1500,3,150,1000,15.0,20,100.0
3b,2,solution.algorithms.Dijkstra,0.3,0,1500,1,0,1000,0.0,18,90.0
3b,2,solution.algorithms.Dijkstra,0.3,0,1500,2,300,1000,30.0,20,100.0
3b,2,solution.algorithms.Dijkstra,0.3,0,1500,3,250,1000,25.0,20,100.0
3b,2,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,1,,,,,
3b,2,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,2,50,1000,5.0,20,100.0
3b,2,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,3,100,1000,10.0,19,95.0
3b,2,solution.algorithms.Hybrid,0.3,0,1500,1,150,1000,15.0,20,100.0
3b,2,solution.algorithms.Hybrid,0.3,0,1500,2,50,1000,5.0,20,100.0
3b,2,solution.algorithms.Hybrid,0.3,0,1500,3,50,1000,5.0,19,95.0
3b,4,solution.algorithms.BFS,0.3,0,1500,1,50,1000,5.0,20,100.0
3b,4,solution.algorithms.BFS,0.3,0,1500,2,0,1000,0.0,20,100.0
3b,4,solution.algorithms.BFS,0.3,0,1500,3,50,1000,5.0,20,100.0
3b,4,solution.algorithms.Dijkstra,0.3,0,1500,1,,,,,
3b,4,solution.algorithms.Dijkstra,0.3,0,1500,2,,,,,
3b,4,solution.algorithms.Dijkstra,0.3,0,1500,3,,,,,
3b,4,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,1,0,1000,0.0,20,100.0
3b,4,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,2,0,1000,0.0,20,100.0
3b,4,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,3,0,1000,0.0,20,100.0
3b,4,solution.algorithms.Hybrid,0.3,0,1500,1,0,1000,0.0,20,100.0
3b,4,solution.algorithms.Hybrid,0.3,0,1500,2,0,1000,0.0,20,100.0
3b,4,solution.algorithms.Hybrid,0.3,0,1500,3,0,1000,0.0,20,100.0
3b,5,solution.algorithms.BFS,0.3,0,1500,1,0,1000,0.0,20,100.0
3b,5,solution.algorithms.BFS,0.3,0,1500,2,150,1000,15.0,20,100.0
3b,5,solution.algorithms.BFS,0.3,0,1500,3,100,1000,10.0,20,100.0
3b,5,solution.algorithms.Dijkstra,0.3,0,1500,1,200,1000,20.0,19,95.0
3b,5,solution.algorithms.Dijkstra,0.3,0,1500,2,250,1000,25.0,19,95.0
3b,5,solution.algorithms.Dijkstra,0.3,0,1500,3,,,,,
3b,5,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,1,,,,,
3b,5,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,2,,,,,
3b,5,solution.algorithms.BidirectionalDijkstra,0.3,0,1500,3,,,,,
3b,5,solution.algorithms.Hybrid,0.3,0,1500,1,,,,,
3b,5,solution.algorithms.Hybrid,0.3,0,1500,2,,,,,
3b,5,solution.algorithms.Hybrid,0.3,0,1500,3,,,,,
3c,0,solution.algorithms.BFS,0.3,0,3000,1,200,900,22.2,20,100.0
3c,0,solution.algorithms.BFS,0.3,0,3000,2,200,800,25.0,20,100.0
3c,0,solution.algorithms.BFS,0.3,0,3000,3,200,1000,20.0,20,100.0
3c,0,solution.algorithms.Dijkstra,0.3,0,3000,1,,,,,
3c,0,solution.algorithms.Dijkstra,0.3,0,3000,2,,,,,
3c,0,solution.algorithms.Dijkstra,0.3,0,3000,3,,,,,
3c,0,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,1,450,800,56.2,20,100.0
3c,0,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,2,550,900,61.1,20,100.0
3c,0,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,3,250,950,26.3,20,100.0
3c,0,solution.algorithms.Hybrid,0.3,0,3000,1,300,1000,30.0,20,100.0
3c,0,solution.algorithms.Hybrid,0.3,0,3000,2,350,900,38.9,20,100.0
3c,0,solution.algorithms.Hybrid,0.3,0,3000,3,550,1000,55.0,20,100.0
3c,2,solution.algorithms.BFS,0.3,0,3000,1,250,1000,25.0,20,100.0
3c,2,solution.algorithms.BFS,0.3,0,3000,2,100,1000,10.0,18,90.0
3c,2,solution.algorithms.BFS,0.3,0,3000,3,400,1000,40.0,20,100.0
3c,2,solution.algorithms.Dijkstra,0.3,0,3000,1,250,1000,25.0,19,95.0
3c,2,solution.algorithms.Dijkstra,0.3,0,3000,2,200,1000,20.0,20,100.0
3c,2,solution.algorithms.Dijkstra,0.3,0,3000,3,100,1000,10.0,19,95.0
3c,2,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,1,250,1000,25.0,18,90.0
3c,2,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,2,200,1000,20.0,20,100.0
3c,2,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,3,,,,,
3c,2,solution.algorithms.Hybrid,0.3,0,3000,1,150,1000,15.0,20,100.0
3c,2,solution.algorithms.Hybrid,0.3,0,3000,2,300,1000,30.0,20,100.0
3c,2,solution.algorithms.Hybrid,0.3,0,3000,3,50,1000,5.0,19,95.0
3c,4,solution.algorithms.BFS,0.3,0,3000,1,0,1000,0.0,20,100.0
3c,4,solution.algorithms.BFS,0.3,0,3000,2,0,1000,0.0,20,100.0
3c,4,solution.algorithms.BFS,0.3,0,3000,3,0,1000,0.0,20,100.0
3c,4,solution.algorithms.Dijkstra,0.3,0,3000,1,,,,,
3c,4,solution.algorithms.Dijkstra,0.3,0,3000,2,,,,,
3c,4,solution.algorithms.Dijkstra,0.3,0,3000,3,,,,,
3c,4,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,1,0,1000,0.0,20,100.0
3c,4,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,2,0,1000,0.0,20,100.0
3c,4,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,3,0,1000,0.0,20,100.0
3c,4,solution.algorithms.Hybrid,0.3,0,3000,1,0,1000,0.0,20,100.0
3c,4,solution.algorithms.Hybrid,0.3,0,3000,2,0,1000,0.0,20,100.0
3c,4,solution.algorithms.Hybrid,0.3,0,3000,3,0,1000,0.0,20,100.0
3c,5,solution.algorithms.BFS,0.3,0,3000,1,50,950,5.3,20,100.0
3c,5,solution.algorithms.BFS,0.3,0,3000,2,100,1000,10.0,20,100.0
3c,5,solution.algorithms.BFS,0.3,0,3000,3,0,1000,0.0,20,100.0
3c,5,solution.algorithms.Dijkstra,0.3,0,3000,1,,,,,
3c,5,solution.algorithms.Dijkstra,0.3,0,3000,2,0,900,0.0,20,100.0
3c,5,solution.algorithms.Dijkstra,0.3,0,3000,3,150,1000,15.0,20,100.0
3c,5,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,1,,,,,
3c,5,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,2,,,,,
3c,5,solution.algorithms.BidirectionalDijkstra,0.3,0,3000,3,,,,,
3c,5,solution.algorithms.Hybrid,0.3,0,3000,1,,,,,
3c,5,solution.algorithms.Hybrid,0.3,0,3000,2,,,,,
3c,5,solution.algorithms.Hybrid,0.3,0,3000,3,,,,,
sweep_0,0,solution.algorithms.BFS,0,0,0,1,850,850,100.0,20,100.0
sweep_0,0,solution.algorithms.BFS,0,0,0,2,1000,1000,100.0,20,100.0
sweep_0,0,solution.algorithms.BFS,0,0,0,3,1000,1000,100.0,20,100.0
sweep_0,0,solution.algorithms.Dijkstra,0,0,0,1,900,900,100.0,20,100.0
sweep_0,0,solution.algorithms.Dijkstra,0,0,0,2,950,950,100.0,20,100.0
sweep_0,0,solution.algorithms.Dijkstra,0,0,0,3,1000,1000,100.0,20,100.0
sweep_0,0,solution.algorithms.BidirectionalDijkstra,0,0,0,1,950,950,100.0,20,100.0
sweep_0,0,solution.algorithms.BidirectionalDijkstra,0,0,0,2,1000,1000,100.0,20,100.0
